source_entry_key	source_entry_number	source_title	source_page	page_span	face_markers	source_title_normalized	inferred_heading	excerpt
29	29	ဧကရစ်မင်းကြီးကျောက်စာ	89	89,90		ဧကရစ်မင်းကြီးကျောက်စာ	False	၁ မောတဿ . . . . . . . . . . . ၂ . . (န်) ရရျက် ၃ နေ ပ(င်တ်) . . . ၃ . . . အလုမ်ကိုဝ် အစိုရ (သော) . . . ၄ . . . ယ်သည်မင်မ (တ) . . .
30	30	အမတ်ကြီးစလေမင်းမောင်နံကျောက်စာ	91	91,92,93,94,95,96	မျက်နှာဘက်,ကျောဘက်	အမတ်ကြီးစလေမင်းမောင်နံကျောက်စာ	False	(မျက်နှာဘက်) ၁ ၊ ၊ နမော၊ ဗုဓံာယသိဓံ၊ ဝ၊ သဂရစ် ၇၈၀ ခု ဖဿနှစ် တပေါင်လ္ဆန် ၈ ရျက်ကြသ ၂ ပတေနေ71 သောက်ရောင်လာလျှင် ကျောင်တဝ်တည်၏၊ ဝ၊ သဂရစ် ၇၉၈ ခု အာသန်နှစ်။ ၃ ပြသိုဝ်လ္ဆန် ငါရျက်ကြာသပတေနေ72 နှိုက်မင်တြာ၏ အမတ်ကြီဖြစ်သော စလေမင်မော
31	31	ထနောင်းကန်သူကြီးသမီးမောင်နှံကျောက်စာ	97	97,98,99,100,101	မျက်နှာဘက်,ကျောဘက်	ထနောင်းကန်သူကြီးသမီးမောင်နှံကျောက်စာ	False	(မျက်နှာဘက်) ၁ ဝန္ဒာခိတ္တေနတယံ။ သက္က်ရစ် ၈၃၆ ခု၊ အသစ် ၃၈ ခု၊ ဘဿနှစ် သန္တလဆုတ် တဆဲသုံမ်ရက်သော ၂ က္ကြာနေ74 နှိုက် သတ္တာ ဝိရိယသိ . . . . . . . . . . စွာသော အ . . (စ်) တ္ပသောအဖိုဝ်ဥိနှောင်တော၏ ဒါယ ၃ . . . ကူကြိတောဓက် . . . . . . . . . လူတိုဝ်၏ အဓိပတိဖြစ်သော မင်တိုဝ်ကို
32	32	ဝါရာရွာသူကြွယ်ကျောက်စာ	102	102,103,104,105	မျက်နှာဘက်,ကျောဘက်	ဝါရာရွာသူကြွယ်ကျောက်စာ	False	(မျက်နှာဘက်) ၁ ။၊ သက္ကရစ် ၈၅၅ ခုတော်သလင်းလဆုတ်တဆဲတရက် ကြသပတေနေ 76တက် တဆဲတစ်ဖွာ ၂ ၊။ သက္ကရာစ် ၈၅၅ 77ခု ကုတ်ခန်ကျေလက်အဆက်ရှည်စွာ ဝါရာရွာနှိုက်၊ သဌေသူကြွယ်အမည် ၃ ။ (လဲ)ရထိုဝ်မင်လှကာစောစွာ ကောင်းမှုပြုလိုဝ်သောငှါ၊ ဝါရာတောကျောင်မင်ကြီဆျြီာ၊
33	33	အကောက်ခွန်ကျောက်စာ	106	106,107		အကောက်ခွန်ကျောက်စာ	False	၁ နမာမိရတနတ္တယံ။ ။ သဗ္ဗညုဖုရှာမြတ်စွာ ၂ ပရိနိဗ္ဗာန်လွန်၍ သာသနာတ်ေနှစ်ထောင်ကို ၃ ဝ်ဆဲငါနှစ်၊ သက္က်ရစ်ကိုဝ်ရာ တဆဲသုံမ်ခု 79၊ မာ ၄ ခနှစ် နှိုက်၊ အသျှင်ဘဝရှင်မတရာနော
34	34	ရာဇသင်္ကြံသမီးကျောက်စာ	108	108,109		ရာဇသင်္ကြံသမီးကျောက်စာ	False	၁ . . . နှစ်နတ်တဝ်လဆန် . . . ၂ . . . စလင်က္လစွာပိယ်သောလယ် ၃၀ ၃ . . . ဤမျှသကာပုရှာလျှင် ရိယ်သွန်ဧ။ ၄ . . . နဝယ်လယ် ၃၀ ကာလာလာသောအရျာ
35	35	မိဖုရားကြီးသီရိမဟာဓမ္မဒေဝီကျောက်စာ	110	110,111,112,113,114,115,116,117,118,33,34,35,36,37,38,39,40,119,120	မျက်နှာဘက်,ကျောဘက်	မိဖုရားကြီးသီရိမဟာဓမ္မဒေဝီကျောက်စာ	False	(မျက်နှာဘက်) ၁ ။ နမးသဝိ​ေတြေ။ ဇိနဿသနပဇ္ဇောတေ၊ ရမ္မဘုမ္မေ ဓနိဓိလေ၊ ဝိသာလေဝနသံ ကိဏ္ဏေ သီသေ ပုဓုဝိ ပုဂ္ဂလေ၊ ၁၊ အဝါဘိချာတေနဂရေ၊ ဒုဇေယျေဓမ္မရက္ခိကေ၊ အယုဇ္ဇ ပူရသင်္ကာသေနာနာနေသမာကုလေ၊ ၂၊ ၂ သမိဒ္ဓေဒေဝနဂရေ၊ သမ္ဘာရေ ပုညကမ္မုနာ၊ ဝိဝိဓဒါနသီလါနိဝိဘတ္တေ ဘာဂသေမိတေ၊ ၊ ၃၊ နရပတိနရိန္ဒ ဂ္ဂေါ၊ ရတ္တနတ္တယဒါယကော၊ သိရိတြိဘဝနာဒိတျော၊ အစလော သုပတိဌိတျော၊ ၄၊ စာတုပါယကုသ​ေ ၃ လန၊ ရိပုံတ္ဇုဂထင်္ကတော့၊ ဗုဒ္ဓင်္ကုရောဗောဓိသတ္တော၊ ဓမ္မရာဇာတိဝိဿုတော၊ ၅၊ ရဇ္ဇံကာရေ ဝိယောဘူပေါ၊ အသမောဒွိပဒုတ္တမော၊ ကုလဝင်္သာနူရက္ခန္တော၊ နိသိန္နေဝိဇိယောသဒါ၊ ၆၊ စာတုရိတ္တေအဌသ​ေ
36	36	သူကြွယ်ငကုလားသင်သိမ်ကျောက်စာ	121	121,122		သူကြွယ်ငကုလားသင်သိမ်ကျောက်စာ	False	၁ ။ ဝ။ သက္ကရာစ် ၅၁၇ ခု၊ မြိကသျှိုဝ်နှစ်ကဆုန်လ္ဆန် ၅ ရျက် ၁ ​ေ ၂ နေ83 လပျည် ဥပုတ်သတင်နေလျင်၊ သုကြွယ်ငကူလါသင်သိမ်လှူသိမ်လွှတ်ခ ၃ ရုယ်ရွှေယ်က္လင်မဟာပိုဝ်ယောက်ဖသူသောက်အသည်ကုလါပါလယ် (ရံ) ၄ လူလင်ကန်ငာပယ်၊ တောင်ရျာငာပယ်၊ အပေါင်သောတံဆယ်ဟိ၏၊ ကု
37	37	စူလာပိကြံသမီးကျောက်စာ	123	123		စူလာပိကြံသမီးကျောက်စာ	False	၁ သကရစ် ၆၀(၅)ခုဖ္လ ကိုန်နှစ် ၂ + တပေါင်လ္ဆုတ် ၁၁ ၃ ရျက်ကြာသပတိယ်နိယ်85 အာ၊ အကြီစာသီ။ ၄ စေယပိကြ။ သစ် (ကြံ)ပါတိယ်။
38	38	နွားထိန်းအလိုတော်ပြည့်စလင်းအသင်္ခရာကျောက်စာ	124	124,12,125		နွားထိန်းအလိုတော်ပြည့်စလင်းအသင်္ခရာကျောက်စာ	False	၁ ။ နမောတဿ ဘဂဝတော အရဟတော သမ္မာသဗုဒ္ဓဿ။ ။ စလင်ကြ (ရောဟ)အသင်္ခ (ရာ)အဥက် ၂ ကဗ္ဘာတသိန် မကိန်ကိုဝ် (ဂရာ)၊ (မည်)၊ ပါရမီဖ္လည်ရုယ်ပ္လည်စန်ပြသော မင်ကြီသိဝတ်ထံတဝ်ဖြ ၃ တ်ရုယ်ခပ်သတ်ပန်လင် (မွေ တ် စင်ရုယ် . . ပန်စင် . မန်ငါပါကိုဝ် ဓွာဓွာခပင်ခ္လ . . ၄ ယ်လျင်ရုယ်ဆင်ခြင်သဖြင် . . . . ပနှိုက် . . . လုံမ်ရပ်ကွပ်ည္လပ်ပြသော အ(သိန်)
39	39	ပုရန်ငါယန်ကျောက်စာ	126	126,127		ပုရန်ငါယန်ကျောက်စာ	False	၁ သကရစ် ၆၈၇ ခု စိ ဿ နှစ်88 ၂ ဝ၊ ညျယ်ဦရီပုကံသာပုရန်ပ္လုခသော ၃ ဆမီတိုင်တေည်သနေကာအင်ကာနေ ၄ ညျခင်ပ္လုသတေည်၊ သျင်ငစပ်သင်
40	40	ပုကံမဟာဓိဓမ္မကျွန်လှူကျောက်စာ	128	128		ပုကံမဟာဓိဓမ္မကျွန်လှူကျောက်စာ	False	၁ ။ သကရစ် ၅၇၆ ဖ္လဂိုန် နှစ်တပေါင်လ ၂ ဆုတ် ၆ ရျက်တနှင့် ဂုနိယ်နိယ်90၊ ယောက်သာယ် ၃ . . . ဓိ။ ပုကံမဟာဓိဓမ္မဂုနာ၊ သင်ပ္လ (ဒါ)ဂုံ ၄ တိုင်ရုယ်။ ပုရှာကျွန်လှူဝ်၊ သောသဟအိုဝ်ဖုန်
