candidate_rank	local_file_id	batch_id	file_name	year	ocr_text_path	language_scope_guess	burmese_relevance_guess	translation_hit_count	text_hit_count	inscription_hit_count	strongest_markers	sample_pages	reason_for_priority	recommended_next_action	notes
23	pyuinscriptions_blagden1917-61a4832bfac2	jbrs-ocr-3347	PyuInscriptions-Blagden1917.pdf	1917	data/working/ocr/jbrs/text/pyuinscriptions_blagden1917-61a4832bfac2.txt	Burmese	direct_burmese_relevance	1	2	19	inscription x9, inscriptions x9, text. x2, translation x1	page 2, page 3, page 4	Burmese; 1 translation hits; 19 inscription hits; 2 text hits	queue_for_structured_extraction_review	
24	1965-emegenceburmesenation-bahan1965-pdf	jbrs-ocr-1510	EmegenceBurmeseNation_BaHan1965.pdf	1965	data/working/ocr/jbrs/text/1965-emegenceburmesenation-bahan1965-pdf.txt	Burmese	direct_burmese_relevance	1	1	18	inscription x8, inscriptions x7, mon inscription x2, translated x1	page 12, page 6, page 2	Burmese; 1 translation hits; 18 inscription hits; 1 text hits	queue_for_structured_extraction_review	
25	1958-aspectsburmeseculture-lupewin1958-41-pdf	jbrs-ocr-1401	AspectsBurmeseCulture_LuPeWin1958-41.pdf	1958	data/working/ocr/jbrs/text/1958-aspectsburmeseculture-lupewin1958-41-pdf.txt	Burmese	direct_burmese_relevance	1	1	14	inscription x7, inscriptions x6, burmese text x1, translation x1	page 12, page 3, page 10	Burmese; 1 translation hits; 14 inscription hits; 1 text hits; article-level PDF	queue_for_structured_extraction_review	
26	1923-boob-1923-firstburmesewar-pdf	jbrs-ocr-0985	Boob-1923-FirstBurmeseWar.pdf	1923	data/working/ocr/jbrs/text/1923-boob-1923-firstburmesewar-pdf.txt	Burmese	direct_burmese_relevance	1	0	0	translated x1	page 1	Burmese; 1 translation hits	queue_for_structured_extraction_review	
27	1934-basein-1934-elementary-burmese-astrology-pdf	jbrs-ocr-1192	BaSein-1934-elementary-burmese-astrology.pdf	1934	data/working/ocr/jbrs/text/1934-basein-1934-elementary-burmese-astrology-pdf.txt	Burmese	direct_burmese_relevance	1	0	0	translated x1	page 1	Burmese; 1 translation hits	queue_for_structured_extraction_review	
28	1957-warswithburmese2-damrong1957-pdf	jbrs-ocr-1394	WarsWithBurmese2-Damrong1957.pdf	1957	data/working/ocr/jbrs/text/1957-warswithburmese2-damrong1957-pdf.txt	Burmese	direct_burmese_relevance	1	0	0	translated x1	page 1	Burmese; 1 translation hits	queue_for_structured_extraction_review	
29	1953-monsofpagan-luce1953-pdf	jbrs-ocr-1338	MonsOfPagan-Luce1953.pdf	1953	data/working/ocr/jbrs/text/1953-monsofpagan-luce1953-pdf.txt	Mixed Burmese/Pali	mixed_burmese_pali_relevance	0	0	27	inscription x13, inscriptions x7, mon inscription x4, burmese inscription x3	page 13, page 10, page 18	Mixed Burmese/Pali; 27 inscription hits	review_source_text_boundaries	
30	253149-88495e2fcca1	jbrs-ocr-1725	PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf	1935	data/working/ocr/jbrs/text/253149-88495e2fcca1.txt	Burmese	direct_burmese_relevance	0	0	20	inscription x11, inscriptions x9	page 1, page 10, page 11	Burmese; 20 inscription hits	review_source_text_boundaries	
31	1935-womeninscriptionspagan-pemaungtin1935-pdf	jbrs-ocr-1213	WomenInscriptionsPagan-PeMaungTin1935.pdf	1935	data/working/ocr/jbrs/text/1935-womeninscriptionspagan-pemaungtin1935-pdf.txt	Burmese	direct_burmese_relevance	0	0	20	inscription x11, inscriptions x9	page 1, page 10, page 11	Burmese; 20 inscription hits	review_source_text_boundaries	
32	1936-prayersburma-luce1936-pdf	jbrs-ocr-1227	PrayersBurma-Luce1936.pdf	1936	data/working/ocr/jbrs/text/1936-prayersburma-luce1936-pdf.txt	Burmese	direct_burmese_relevance	0	0	11	inscription x5, inscriptions x3, burmese inscription x2, pagan inscription x1	page 3, page 2, page 1	Burmese; 11 inscription hits	review_source_text_boundaries	
33	1939-burmatofallofpagan-luce1939-pdf	jbrs-ocr-1267	BurmaToFallOfPagan-Luce1939.pdf	1939	data/working/ocr/jbrs/text/1939-burmatofallofpagan-luce1939-pdf.txt	Burmese	direct_burmese_relevance	0	0	10	inscription x4, inscriptions x4, mon inscription x2	page 5, page 9, page 10	Burmese; 10 inscription hits	review_source_text_boundaries	
34	1932-earlierpagankings-mamyathan1932-pdf	jbrs-ocr-1162	EarlierPaganKings-mamyaThan1932.pdf	1932	data/working/ocr/jbrs/text/1932-earlierpagankings-mamyathan1932-pdf.txt	Burmese	direct_burmese_relevance	0	0	6	burmese inscription x2, inscription x2, inscriptions x2	page 4, page 5	Burmese; 6 inscription hits	review_source_text_boundaries	
35	1912-burmeseera-mayoung1912-pdf	jbrs-ocr-0709	BurmeseEra-MayOung1912.pdf	1912	data/working/ocr/jbrs/text/1912-burmeseera-mayoung1912-pdf.txt	Burmese	direct_burmese_relevance	0	0	4	inscription x2, inscriptions x2	page 1, page 5	Burmese; 4 inscription hits	review_source_text_boundaries	
36	1921-dialectsburmese-taylor1921-pdf	jbrs-ocr-0917	DialectsBurmese-Taylor1921.pdf	1921	data/working/ocr/jbrs/text/1921-dialectsburmese-taylor1921-pdf.txt	Burmese	direct_burmese_relevance	0	0	4	inscription x2, inscriptions x2	page 2, page 3	Burmese; 4 inscription hits	review_source_text_boundaries	
37	193078-6feeee7af9fa	jbrs-ocr-1137	PeMaungTin 1929 PhilologicalFeaturesOfBurmeseInscriptions_1929.pdf	1929	data/working/ocr/jbrs/text/193078-6feeee7af9fa.txt	Burmese	direct_burmese_relevance	0	0	4	inscription x2, inscriptions x2	page 1, page 2	Burmese; 4 inscription hits	review_source_text_boundaries	
38	201020-29b619f739e5	jbrs-ocr-1615	PeMaungTin 1930 OldWordsInBurmeseInscriptions.pdf	1930	data/working/ocr/jbrs/text/201020-29b619f739e5.txt	Burmese	direct_burmese_relevance	0	0	4	inscription x2, inscriptions x2	page 1, page 2	Burmese; 4 inscription hits	review_source_text_boundaries	
