linked_corpus_record_id	linked_inscription_id	title_or_label	language	has_existing_transcription	has_source_text_witness	source_text_witness_count	has_translation	translation_status	translation_candidate_sources	sip_ref	iob_plate	comparison_status	preview_note
obi-v01-n0045-ob-p0073	obi-v01-n0045	သံပျင်ရင်ကောင်ဘုရားကျောက်စာ		true	true	1	false	no_translation_known		SIP 25-26	Plate XXIV	corpus_text_present_sip_confirms	SIP source-text witness integrated; translation metadata explicit.
obi-v01-n0062-ob-p0097	obi-v01-n0062	စောရဟန်သိမ်ကျောက်စာ		true	true	1	false	no_translation_known		SIP 30-32	Plate XXXVI	corpus_text_present_sip_confirms	SIP source-text witness integrated; translation metadata explicit.
obi-v01-n0146-tx-p0246	obi-v01-n0146	လေးမျက်နှာဘုရားကျောက်စာရုံ ကျောက်တိုင်အမှတ် ၇ ကျောက်စာ		true	true	1	false	translation_source_missing	tnInscriptionsPaganPinyaAva	SIP 42-44	Plate LXXIX b	corpus_text_present_sip_confirms	SIP source-text witness integrated; translation metadata explicit.
obi-v01-n0160-ob-p0267	obi-v01-n0160	ဇေယျသွတ်ဘုရား ကျောက်စာ		true	true	1	false	no_translation_known		SIP 45-47	Plate XC	corpus_text_present_sip_confirms	SIP source-text witness integrated; translation metadata explicit.
obi-v01-n0179-tx-p0306	obi-v01-n0179	အမတ် ညာဏပိစည်း ကျောက်စာ		true	true	1	false	translation_source_missing	tnInscriptionsPaganPinyaAva	SIP 52-55	Plate CV a	corpus_text_present_sip_confirms	SIP source-text witness integrated; translation metadata explicit.
