record_id	title_original	source_deposit	translation_status	notes
obi-v01-n0038-ob-p0060	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0038-re-p0061	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0039-ob-p0062	ပုဂံပြတိုက် အမှတ် ၅၂ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0039-re-p0063	ပုဂံပြတိုက် အမှတ် ၅၂ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0040-ob-p0064	ငါဖုန်တရားနိုင်သော ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0041-ob-p0065	ဓမ္မရာဇိကဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0041-re-p0067	ဓမ္မရာဇိကဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0042-ob-p0069	မန္တလေး နန်းတွင်းရုံအမှတ် ၂၂ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0043-ob-p0070	အိုက္လောသင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0044-ob-p0071	သင်ကြီးညောင်ဉပ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0044-re-p0072	သင်ကြီးညောင်ဉပ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0045-ob-p0073	သံပျင်ရင်ကောင်ဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0046-ob-p0074	ရမည်းသင်းမှကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0047-ob-p0075	စိုးမင်းပျံချီသမီးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0048-ob-p0077	သင်ငါနှစ်လို့သင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0048-re-p0078	သင်ငါနှစ်လို့သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0049-ob-p0080	ကလန် ငါသာသင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0050-ob-p0081	မောင်းမစောခင်မိငယ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0051-ob-p0082	မင်းသမီး စိုးမင်းတို့ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0052-ob-p0083	နားတောင်းများမင်းကြီးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0053-ob-p0086	ပိတရစ် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0054-ob-p0086	ငါစန်သင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0054-re-p0087	ငါစန်သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0054-tx-p0089	ငါစန်သင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0055-ob-p0089	မိုးကောင်းဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0056-ob-p0090	မိတ္ထိလာမြို့နယ် ကလိန်ရွာမှကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0057-ob-p0091	ကြံသိုင်းမယား ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0058-tx-p0093	သူကြွယ် ငတည်ဖ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0059-ob-p0093	ပုဂံပြတိုက် အမှတ် ၄၉ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0059-re-p0095	ပုဂံပြတိုက် အမှတ် ၄၉ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0060-ob-p0096	ဖုန်းမြတ် မဟာထေရ် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0061-ob-p0097	ပုဂံပြတိုက် အမှတ် ၈၂ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0062-ob-p0097	စောရဟန်သိမ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0063-ob-p0099	သင်ကြီး ဓမ္မပါလ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0063-re-p0100	သင်ကြီးဓမ္မပါလကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0064-ob-p0100	မင်းသိန်ကသူသိမ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0065-ob-p0102	သင်လျင် အိုကပ်သင်ချင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0065-re-p0103	သင်လျင် အိုကပ်သင်ချင် ကျောက်စာ	zenodo_4321314	not_started	
