ref_id	raw_reference	author	year	title	publication	pages	publisher	place	confidence	notes
frasch-ref-00916	Pichard, IMP 3, no. 698	Pichard		IMP 3, no. 698					medium	
frasch-ref-00922	Than Tun, Hnaung-dwe, no. 6, p. 14	Than Tun		Hnaung-dwe, no. 6, p. 14		14			medium	
frasch-ref-00966	U Hswai, JBRS 48 (2), 1965, p. 67, no. 5	U Hswai	1965	JBRS 48 (2), 1965, p. 67, no. 5	Journal of the Burma Research Society	67			high	
frasch-ref-00981	U Min Hswe, no. 4	U Min Hswe		no. 4					medium	
frasch-ref-00991	U Min Hswe, no. 59	U Min Hswe		no. 59					medium	
frasch-ref-01027	U Min Hswe, no. 70	U Min Hswe		no. 70					medium	
frasch-ref-01030	U Than Tun, Hnaung-dwe, no. 40, p. 128	U Than Tun		Hnaung-dwe, no. 40, p. 128		128			medium	
frasch-ref-01039	U Min Hswe, no. 41	U Min Hswe		no. 41					medium	
frasch-ref-01060	Than Tun, Hnaung-dwe, no. 8, p. 18	Than Tun		Hnaung-dwe, no. 8, p. 18		18			medium	
frasch-ref-01061	U Min Hswe, no. 73	U Min Hswe		no. 73					medium	
frasch-ref-01077	U Hswai, JBRS 48 (2), 1965, p. 67, no. 12	U Hswai	1965	JBRS 48 (2), 1965, p. 67, no. 12	Journal of the Burma Research Society	67			high	
frasch-ref-01080	Than Tun, Hnaung-dwe, no. 8, p. 18	Than Tun		Hnaung-dwe, no. 8, p. 18		18			medium	
frasch-ref-01081	U Min Hswe, no. 16	U Min Hswe		no. 16					medium	
frasch-ref-01089	U Hswai, JBRS 48 (2), 1965, p. 67, no. 6	U Hswai	1965	JBRS 48 (2), 1965, p. 67, no. 6	Journal of the Burma Research Society	67			high	
frasch-ref-01113	U Kyaw, “Bagan Minsa”, p. 188- 189	U Kyaw		“Bagan Minsa”, p. 188- 189		188-			medium	
frasch-ref-01144	U Min Hswe, no. 3	U Min Hswe		no. 3					medium	
frasch-ref-01154	Luce, Old Burma, p. 391	Luce		Old Burma, p. 391		391			medium	
frasch-ref-01155	U Kyaw, Bagan Minsa, p. 186	U Kyaw		Bagan Minsa, p. 186		186			medium	
frasch-ref-01159	U Than Tun, ‘An Original Inscription’, Etudes birmanes, p. 37-55	U Than Tun		‘An Original Inscription’, Etudes birmanes, p. 37-55		37-55			medium	
frasch-ref-01161	Than Tun, Hnaung-dwe, no. 9, p. 21	Than Tun		Hnaung-dwe, no. 9, p. 21		21			medium	
frasch-ref-01162	U Min Hswe, no. 54	U Min Hswe		no. 54					medium	
frasch-ref-01191	U Than Tun, Origial Inscription, Etudes birmanes, p. 37-55	U Than Tun		Origial Inscription, Etudes birmanes, p. 37-55		37-55			medium	
frasch-ref-01192	U Than Tun, Hnaung-dwe, no. 10, p. 26	U Than Tun		Hnaung-dwe, no. 10, p. 26		26			medium	
frasch-ref-01226	U Hswai, JBRS 48 (2), 1965, p. 67, no. 7	U Hswai	1965	JBRS 48 (2), 1965, p. 67, no. 7	Journal of the Burma Research Society	67			high	
frasch-ref-01233	U Hswai, JBRS 48 (2), 1965, p. 67, no. 8	U Hswai	1965	JBRS 48 (2), 1965, p. 67, no. 8	Journal of the Burma Research Society	67			high	
frasch-ref-01243	U Min Hswe, no. 32	U Min Hswe		no. 32					medium	
frasch-ref-01262	U Min Hswe, no. 45	U Min Hswe		no. 45					medium	
frasch-ref-01276	Aung-Thwin, Cey- lonese-Burmese Relations, JSS 1976, p. 53- 74	Aung-Thwin	1976	Cey- lonese-Burmese Relations, JSS 1976, p. 53- 74		53-			high	
frasch-ref-01277	Frasch, MHRJ 1998, p. 23-37	Frasch	1998	MHRJ 1998, p. 23-37		23-37			high	
frasch-ref-01278	U Lu Pe Win, OBEP – A Radical Review, in JBRS	U Lu Pe Win		OBEP – A Radical Review, in	Journal of the Burma Research Society				medium	
frasch-ref-01301	U Min Hswe, no. 57	U Min Hswe		no. 57					medium	
frasch-ref-01333	Ray, Theravada Buddhism, p. 164, Frasch, ‘King Nadaungmya's Great Gift’, p. xx	Ray		Theravada Buddhism, p. 164, Frasch, ‘King Nadaungmya's Great Gift’, p. xx		164			medium	
frasch-ref-01334	U Min Hswe, no. 24	U Min Hswe		no. 24					medium	
frasch-ref-01341	U Min Hswe, no. 37	U Min Hswe		no. 37					medium	
frasch-ref-01345	U Min Hswe, no. 58	U Min Hswe		no. 58					medium	
frasch-ref-01372	Than Tun, Hnaung-dwe, no. 11, p. 31	Than Tun		Hnaung-dwe, no. 11, p. 31		31			medium	
frasch-ref-01373	U Min Hswe, no. 5	U Min Hswe		no. 5					medium	
frasch-ref-01375	Than Tun, Hnaung-dwe, no. 12, p. 34	Than Tun		Hnaung-dwe, no. 12, p. 34		34			medium	
frasch-ref-01388	U Min Hswe, no. 85	U Min Hswe		no. 85					medium	
frasch-ref-01455	U Min Hswe, no. 40	U Min Hswe		no. 40					medium	
frasch-ref-01477	U Min Hswe, no. 17	U Min Hswe		no. 17					medium	
frasch-ref-01500	U Min Hswe, no. 49	U Min Hswe		no. 49					medium	
frasch-ref-01529	U Than Tun, JBRS 1959, p. 77-79	U Than Tun	1959	JBRS 1959, p. 77-79	Journal of the Burma Research Society	77-79			high	
frasch-ref-01530	U Than Tun, JBRS 1976, p. 135-7, Luce, ELEB, JBRS 1940, p. 327-8	U Than Tun	1976	JBRS 1976, p. 135-7, Luce, ELEB, JBRS 1940, p. 327-8	Journal of the Burma Research Society	135-7			high	
frasch-ref-01531	U Min Hswe, no. 77	U Min Hswe		no. 77					medium	
frasch-ref-01547	Than Tun, Hnaung-dwe, no. 14, p. 38	Than Tun		Hnaung-dwe, no. 14, p. 38		38			medium	
frasch-ref-01548	U Min Hswe, no. 8	U Min Hswe		no. 8					medium	
frasch-ref-01566	U Min Hswe, no. 6	U Min Hswe		no. 6					medium	
frasch-ref-01575	U Than Tun, JBRS 1978, p. 140	U Than Tun	1978	JBRS 1978, p. 140	Journal of the Burma Research Society	140			high	
frasch-ref-01576	U Min Hswe, no. 76	U Min Hswe		no. 76					medium	
frasch-ref-01607	U Min Hswe, no. 44	U Min Hswe		no. 44					medium	
frasch-ref-01641	Pichard, IMP 698	Pichard		IMP 698					medium	
frasch-ref-01642	Than Tun, Hnaung-dwe, no. 13, p. 36	Than Tun		Hnaung-dwe, no. 13, p. 36		36			medium	
frasch-ref-01656	U Min Hswe, no. 69	U Min Hswe		no. 69					medium	
