raw_reference_string	occurrence_count
BA-122; List-365; IOB3-263 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-124; List-370; IOB3-267 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-125; List-373/a; IOB3-269 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-128; List-380/b; IOB2-117/a; BA-127; IOB5-581/b BED B 559-5; Pl. II 117a; OBI 1, p. 64; List 380b; A, p. 128	1
BA-130; List-386; IOB3-288 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-133; List-391; IOB3-276/b BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-137-138; List-397; IOB3-285 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-139-140; List-400/a/a; IOB3-286 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-141; List-504/b; IOB--462/b	1
BA-142; List-412; IOB3-292 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-143-144; List-410/a; IOB2-193 BED B 600-7; OBI 2, p. 1; RDASB 1971	1
BA-145; List-410/b; IOB3-280/a BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-146; List-411; IOB3-287/b BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-147; List-418; IOB4-394 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-149; List-422; IOB4-398 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-150; List-428; IOB4-400/a BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-151-152; List-431; IOB4-401 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-153; List-435; IOB4-406/b BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-154; List-434; IOB4-406/a BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-156; List-438; IOB4-409/a BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-162; List-569; IOB5-501	1
BA-164; List 536/b; IOB5-483/b	1
BA-165; List-451; IOB4-415 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-166-167; List-452; IOB-418 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-168; List-480; IOB4-420/a BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
BA-169; List-458; IOB3-389/b BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA-16; List-48 BED B 468-1; OBI 1, p. 328; List 48; A, p. 16; OR 6452 B (1), nos. 22 and 26	1
BA-170; List-457; IOB4-419/a BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-174; List-875; IOB5-575 BED B 602-5; OBI 2, p. 21; RDASB 1963, p. 27, no. 16	1
BA-177; List-464; IOB4-432/a BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-179; List-467; IOB4-434/b BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
BA-183; List-437; IOB4-438/a BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	1
