record_id	source_deposit	raw_reference_string
obi-v01-n0005-ob-p0019	zenodo_4321314	RSASB 1926, p. 26
obi-v01-n0006-ob-p0020	zenodo_4321314	IOB1-106 BED B 509-1
obi-v01-n0006-ob-p0020	zenodo_4321314	Pl. I 106-107
obi-v01-n0006-ob-p0020	zenodo_4321314	OBI 1, p. 20
obi-v01-n0006-re-p0021	zenodo_4321314	IOB1-107
obi-v01-n0007-ob-p0022	zenodo_4321314	IPPA-192
obi-v01-n0007-ob-p0022	zenodo_4321314	List-1251
obi-v01-n0007-ob-p0022	zenodo_4321314	IOB1-59 BED B 561-1 & B 509-2
obi-v01-n0007-ob-p0022	zenodo_4321314	Pl. I 59
obi-v01-n0007-ob-p0022	zenodo_4321314	OBI 1, p. 22
obi-v01-n0007-ob-p0022	zenodo_4321314	List 1251
obi-v01-n0007-ob-p0022	zenodo_4321314	PPA, p. 192
obi-v01-n0007-ob-p0022	zenodo_4321314	TN, p. 92
obi-v01-n0008-ob-p0023	zenodo_4321314	RDASB 1954-1955 BED B 503-1
obi-v01-n0008-ob-p0023	zenodo_4321314	OBI 1, p. 23
obi-v01-n0009-ob-p0025	zenodo_4321314	BED B 512-1
obi-v01-n0009-ob-p0025	zenodo_4321314	OBI 1, p. 25
obi-v01-n0010-ob-p0026	zenodo_4321314	BA-27
obi-v01-n0010-ob-p0026	zenodo_4321314	List 72
obi-v01-n0010-ob-p0026	zenodo_4321314	IOB1-3 BED B 512-2
obi-v01-n0010-ob-p0026	zenodo_4321314	Pl. I 3
obi-v01-n0010-ob-p0026	zenodo_4321314	OBI 1, p. 26
obi-v01-n0010-ob-p0026	zenodo_4321314	List 72
obi-v01-n0010-ob-p0026	zenodo_4321314	MP 1, p. 25
obi-v01-n0010-ob-p0026	zenodo_4321314	A, p. 27
obi-v01-n0010-ob-p0026	zenodo_4321314	Luce/U Pe Maung Tin, BBHC 1 (2), 1960, p. 231-7
obi-v01-n0011-ob-p0027	zenodo_4321314	IOB2-178 BED B 513-1
obi-v01-n0011-ob-p0027	zenodo_4321314	Pl. II 178
obi-v01-n0011-ob-p0027	zenodo_4321314	OBI 1, p. 27
obi-v01-n0012-ob-p0029	zenodo_4321314	IPPA-141
obi-v01-n0012-ob-p0029	zenodo_4321314	List-81/a
obi-v01-n0012-ob-p0029	zenodo_4321314	IOB1-4 BED B 527-1
obi-v01-n0012-ob-p0029	zenodo_4321314	Pl. I 4-5
obi-v01-n0012-ob-p0029	zenodo_4321314	OBI 1, p. 29
obi-v01-n0012-ob-p0029	zenodo_4321314	SIP no. 8, p. 13
obi-v01-n0012-ob-p0029	zenodo_4321314	UEM no. 5, p. 9
obi-v01-n0012-ob-p0029	zenodo_4321314	List 81a+b
obi-v01-n0012-ob-p0029	zenodo_4321314	PPA, p. 141-2
obi-v01-n0012-ob-p0029	zenodo_4321314	TN, p. 66
obi-v01-n0012-ob-p0029	zenodo_4321314	Luce/ U Pe Maung Tin, BBHC 1 (2)
obi-v01-n0012-ob-p0029	zenodo_4321314	1960, p. 241
obi-v01-n0012-re-p0030	zenodo_4321314	IPPA-143
obi-v01-n0012-re-p0030	zenodo_4321314	List-81/b
obi-v01-n0012-re-p0030	zenodo_4321314	IOB1-5
obi-v01-n0012-re-p0030	zenodo_4321314	IOB1-47
obi-v01-n0013-ob-p0032	zenodo_4321314	RDASB 1962-63 BED B 529-1
obi-v01-n0013-ob-p0032	zenodo_4321314	OBI 1, p. 32
obi-v01-n0014-ob-p0033	zenodo_4321314	RDASB 1961-62 BED B 530-1
obi-v01-n0014-ob-p0033	zenodo_4321314	OBI 1, p. 33
obi-v01-n0014-ob-p0033	zenodo_4321314	RDASB 1963, p. 27-8
obi-v01-n0015-ob-p0034	zenodo_4321314	BED B 530-3
obi-v01-n0015-ob-p0034	zenodo_4321314	OBI 1, p. 34
obi-v01-n0016-ob-p0035	zenodo_4321314	BA 107
obi-v01-n0016-ob-p0035	zenodo_4321314	List 328
obi-v01-n0017-ob-p0037	zenodo_4321314	BED B 532-1
obi-v01-n0017-ob-p0037	zenodo_4321314	OBI 1, p. 37
obi-v01-n0018-ob-p0038	zenodo_4321314	RDASB 1958-59 BED B 533-1
obi-v01-n0018-ob-p0038	zenodo_4321314	OBI 1, p. 38
obi-v01-n0018-ob-p0038	zenodo_4321314	RDASB 1969
obi-v01-n0019-ob-p0040	zenodo_4321314	IOB2-113 BED B 537-6
obi-v01-n0019-ob-p0040	zenodo_4321314	Pl. II 113
obi-v01-n0019-ob-p0040	zenodo_4321314	OBI 1, p. 40
obi-v01-n0019-ob-p0040	zenodo_4321314	MP 1, no. 1, p. 1
obi-v01-n0019-ob-p0040	zenodo_4321314	Luce, OBEP, p. 109
obi-v01-n0019-ob-p0040	zenodo_4321314	Frasch, Pagan, p. 102-103
obi-v01-n0020-ob-p0041	zenodo_4321314	IOB2 114/a BED B 537-1
obi-v01-n0020-ob-p0041	zenodo_4321314	Pl. II 114a
obi-v01-n0020-ob-p0041	zenodo_4321314	OBI 1, p. 41
obi-v01-n0021-ob-p0042	zenodo_4321314	IPPA 139
obi-v01-n0021-ob-p0042	zenodo_4321314	List 105
obi-v01-n0021-ob-p0042	zenodo_4321314	IOB1-6 BED B 541-1
obi-v01-n0021-ob-p0042	zenodo_4321314	Pl. I 6
obi-v01-n0021-ob-p0042	zenodo_4321314	OBI 1, p. 42
obi-v01-n0021-ob-p0042	zenodo_4321314	UEM no. 6 p. 11
obi-v01-n0021-ob-p0042	zenodo_4321314	List 105
obi-v01-n0021-ob-p0042	zenodo_4321314	PPA, p. 139
obi-v01-n0021-ob-p0042	zenodo_4321314	TN, p. 65
obi-v01-n0021-ob-p0042	zenodo_4321314	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 62
obi-v01-n0021-ob-p0042	zenodo_4321314	Harvey, History, p. 331
obi-v01-n0021-ob-p0042	zenodo_4321314	Anthology 5, p. 82
obi-v01-n0021-ob-p0042	zenodo_4321314	U Min Hswe, no. 21
obi-v01-n0022-ob-p0043	zenodo_4321314	BM2-768
obi-v01-n0022-ob-p0043	zenodo_4321314	List 106
obi-v01-n0022-ob-p0043	zenodo_4321314	IOB1-7 BED B 543-1
obi-v01-n0022-ob-p0043	zenodo_4321314	Pl. I 7
obi-v01-n0022-ob-p0043	zenodo_4321314	OBI 1, p. 43
obi-v01-n0022-ob-p0043	zenodo_4321314	copy List 106
obi-v01-n0022-ob-p0043	zenodo_4321314	B 2, p. 768
obi-v01-n0022-ob-p0043	zenodo_4321314	MM 2, no. 36, p. 144
obi-v01-n0022-ob-p0043	zenodo_4321314	ARASI 1921-22, p. 35 and pl. 19a
obi-v01-n0022-ob-p0043	zenodo_4321314	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 65
obi-v01-n0023-ob-p0044	zenodo_4321314	BA-34
obi-v01-n0023-ob-p0044	zenodo_4321314	List 108
obi-v01-n0023-ob-p0044	zenodo_4321314	IOB1-8/a BED B 544-1
obi-v01-n0023-ob-p0044	zenodo_4321314	Pl. I 8a
obi-v01-n0023-ob-p0044	zenodo_4321314	OBI 1, p. 44
obi-v01-n0023-ob-p0044	zenodo_4321314	List 108
obi-v01-n0023-ob-p0044	zenodo_4321314	A, p. 34
obi-v01-n0023-ob-p0044	zenodo_4321314	MP 1, p. 49
obi-v01-n0023-ob-p0044	zenodo_4321314	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 69
obi-v01-n0024-ob-p0045	zenodo_4321314	IOB1-c/b BED B 546-1
obi-v01-n0024-ob-p0045	zenodo_4321314	Pl. I 8b
obi-v01-n0024-ob-p0045	zenodo_4321314	OBI 1, p. 45
obi-v01-n0024-ob-p0045	zenodo_4321314	Luce/ U Pe Maung Tin, BBHC 3, 1963, p. 72
obi-v01-n0025-ob-p0046	zenodo_4321314	RDASB 1962-63 BED B 547-1
obi-v01-n0025-ob-p0046	zenodo_4321314	OBI 1, p. 46
obi-v01-n0025-ob-p0046	zenodo_4321314	RDASB 1963, p. 28
obi-v01-n0026-ob-p0046	zenodo_4321314	IOB2-115 BED B 549-1
obi-v01-n0026-ob-p0046	zenodo_4321314	Pl. II 115
obi-v01-n0026-ob-p0046	zenodo_4321314	OBI 1, p. 46
obi-v01-n0026-ob-p0046	zenodo_4321314	Htupayon 2, p. 117
obi-v01-n0026-ob-p0046	zenodo_4321314	RSASB 1912, p. 34
obi-v01-n0026-ob-p0046	zenodo_4321314	U Nyein Maung’s update to OBI 5 (Htupayon), p. 2
obi-v01-n0027-ob-p0048	zenodo_4321314	IPPA-165
obi-v01-n0027-ob-p0048	zenodo_4321314	List-120
obi-v01-n0027-ob-p0048	zenodo_4321314	IOB1-3 BED B 550-1
obi-v01-n0027-ob-p0048	zenodo_4321314	Pl. I 13
obi-v01-n0027-ob-p0048	zenodo_4321314	OBI 1, p. 48
obi-v01-n0027-ob-p0048	zenodo_4321314	UEM no. 7, p. 12
obi-v01-n0027-ob-p0048	zenodo_4321314	List 120
obi-v01-n0027-ob-p0048	zenodo_4321314	PPA, p. 165
